КодЗаказа	ДатаРазмещения	ДатаИсполнения	Марка	Категория	Цена	Скидка	Количество	БазоваяЦена	Заказчик	ГородЗаказчика	СтранаЗаказчика	НазваниеПолучателя	СтранаПолучателя	Менеджер	Филиал	Поставщик	ГородПоставщика	СтранаПоставщика	Перевозчик	СтоимостьДоставки	СтоимостьДоставкиШт	ПоставкиПрекращены
10248	04.07.1996	16.07.1996	Chartreuse verte	Напитки	35,3	0	1	810	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Кротов	Россия	Aux joyeux ecclesiastiques	Париж	Франция	Почта	32,38	0,155400051663426	0
10248	04.07.1996	16.07.1996	NuNuCa Nuss-Nougat-Creme	Кондитерские изделия	140	0,029999999	23	630	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Кротов	Россия	АО Германия-Россия	Москва	Россия	Почта	32,38	0,6163174853507	0
10248	04.07.1996	16.07.1996	Camembert Pierrot	Молочные продукты	345	0,050000001	4	1540	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Кротов	Россия	Gai paturage	Аннеси	Франция	Почта	32,38	1,51878237461422	0
10248	04.07.1996	16.07.1996	Mishi Kobe Niku	Мясо/птица	348	0	5	4365	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Кротов	Россия	Tokyo Traders	Токио	Япония	Почта	32,38	1,53198917787174	1
10248	04.07.1996	16.07.1996	Jack's New England Clam Chowder	Рыбопродукты	98	0	10	434,25	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Кротов	Россия	New England Seafood Cannery	Бостон	США	Почта	32,38	0,43142223974549	0
10249	05.07.1996	10.07.1996	Sir Rodney's Marmalade	Кондитерские изделия	186	0	9	3645	Toms Spezialitaten	Мюнстер	Германия	Toms Spezialitaten	Германия	Акбаев	Россия	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Ространс	11,61	0,115888161425352	0
10249	05.07.1996	10.07.1996	Valkoinen suklaa	Кондитерские изделия	424	0	40	731,25	Toms Spezialitaten	Мюнстер	Германия	Toms Spezialitaten	Германия	Акбаев	Россия	Karkki Oy	Лапинранта	Финляндия	Ространс	11,61	0,264175163679296	0
10250	08.07.1996	12.07.1996	Chang	Напитки	168	0,150000006	15	855	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Воронова	Украина	ООО Экзотика	Москва	Россия	Почта	65,83	1,37984279475983	0
10250	08.07.1996	12.07.1996	Uncle Bob's Organic Dried Pears	Фрукты	135	0,150000006	35	1350	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Воронова	Украина	Grandma Kelly's Homestead	Анн-Арбор	США	Почта	65,83	1,10880224578915	0
10250	08.07.1996	12.07.1996	Boston Crab Meat	Рыбопродукты	77	0	10	828	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Воронова	Украина	New England Seafood Cannery	Бостон	США	Почта	65,83	0,632427947598253	0
10251	08.07.1996	15.07.1996	Chang	Напитки	168	0	20	855	Victuailles en stock	Лион	Франция	Victuailles en stock	Франция	Бабкина	Украина	ООО Экзотика	Москва	Россия	Ространс	41,34	1,0353488372093	0
10251	08.07.1996	15.07.1996	Scottish Longbreads	Кондитерские изделия	168	0,050000001	6	562,5	Victuailles en stock	Лион	Франция	Victuailles en stock	Франция	Бабкина	Украина	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Ространс	41,34	1,0353488372093	0
10251	08.07.1996	15.07.1996	Gnocchi di nonna Alice	Хлебобулочные изделия	156	0,050000001	15	1710	Victuailles en stock	Лион	Франция	Victuailles en stock	Франция	Бабкина	Украина	Pasta Buttini s.r.l.	Салерно	Италия	Ространс	41,34	0,961395348837209	0
10252	09.07.1996	11.07.1996	Louisiana Hot Spiced Okra	Приправы	648	0,050000001	40	765	Supremes delices	Шарлеруа	Бельгия	Supremes delices	Бельгия	Воронова	Украина	New Orleans Cajun Delights	Новый Орлеан	США	Почта	51,3	0,891217158176944	0
10252	09.07.1996	11.07.1996	Mascarpone Fabioli	Молочные продукты	20	0,050000001	25	1440	Supremes delices	Шарлеруа	Бельгия	Supremes delices	Бельгия	Воронова	Украина	Formaggi Fortini s.r.l.	Равенна	Италия	Почта	51,3	0,0275067024128686	0
10252	09.07.1996	11.07.1996	Raclette Courdavault	Молочные продукты	272	0	40	2475	Supremes delices	Шарлеруа	Бельгия	Supremes delices	Бельгия	Воронова	Украина	Gai paturage	Аннеси	Франция	Почта	51,3	0,374091152815013	0
10253	10.07.1996	16.07.1996	Cote de Blaye	Напитки	144	0	42	11857,5	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Бабкина	Украина	Aux joyeux ecclesiastiques	Париж	Франция	Почта	58,17	0,579767441860465	0
10253	10.07.1996	16.07.1996	Original Frankfurter grune Sosse	Приправы	100	0	20	585	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Бабкина	Украина	Plutzer Lebensmittelgrossmarkte AG	Франкфурт	Германия	Почта	58,17	0,402616279069767	0
10253	10.07.1996	16.07.1996	Chocolade	Кондитерские изделия	160	0	40	573,75	Hanari Carnes	Рио-де-Жанейро	Бразилия	Hanari Carnes	Бразилия	Бабкина	Украина	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Почта	58,17	0,644186046511628	0
10254	11.07.1996	23.07.1996	Outback Lager	Напитки	36	0,150000006	15	675	Chop-suey Chinese	Берн	Швейцария	Chop-suey Chinese	Швейцария	Кротов	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Почта	22,98	0,13232245681382	0
10254	11.07.1996	23.07.1996	Queso Cabrales	Молочные продукты	80	0	21	945	Chop-suey Chinese	Берн	Швейцария	Chop-suey Chinese	Швейцария	Кротов	Россия	Cooperativa de Quesos 'Las Cabras'	Овьедо	Испания	Почта	22,98	0,29404990403071	0
10254	11.07.1996	23.07.1996	Tourtiere	Мясо/птица	192	0,150000006	21	335,25	Chop-suey Chinese	Берн	Швейцария	Chop-suey Chinese	Швейцария	Кротов	Россия	Ma Maison	Монреаль	Канада	Почта	22,98	0,705719769673704	0
10255	12.07.1996	15.07.1996	Steeleye Stout	Напитки	152	0	25	810	Richter Supermarkt	Женева	Швейцария	Richter Supermarkt	Швейцария	Ясенева	Украина	Bigfoot Breweries	Бенд	США	Иное	148,33	0,905286488656896	0
10255	12.07.1996	15.07.1996	Pavlova	Кондитерские изделия	152	0	20	785,25	Richter Supermarkt	Женева	Швейцария	Richter Supermarkt	Швейцария	Ясенева	Украина	Pavlova, Ltd.	Мельбурн	Австралия	Иное	148,33	0,905286488656896	0
10255	12.07.1996	15.07.1996	Nord-Ost Matjeshering	Рыбопродукты	139	0	35	1165,05	Richter Supermarkt	Женева	Швейцария	Richter Supermarkt	Швейцария	Ясенева	Украина	Nord-Ost-Fisch mbH	Куксхавен	Германия	Иное	148,33	0,827860670548083	0
